vehicle_1,vehicle_2,vehicle_1_route,vehicle_2_route,weighted_congestion_score
29,529,1,2,0.302972570571062
29,632,1,1,1.857625703339962
29,632,1,2,0.46209937991601846
30,219,1,1,3.901968059819776
30,219,2,1,1.1027969303872684
30,298,1,2,0.7191495614737788
30,342,1,2,2.14721452762538
30,342,2,2,1.9044327407430854
30,356,1,2,0.36317584336670267
30,420,2,1,1.4691463731259244
30,480,1,1,0.0
30,503,1,1,0.6695076770764048
30,563,1,2,1.060119312825183
30,585,1,1,2.077658513922537
30,605,1,1,0.0
30,605,1,2,1.213848435344584
30,629,1,1,0.42778174210367925
30,645,1,1,9.237125005901044
30,695,2,2,0.3553705659550979
30,702,1,2,0.0
30,725,1,1,2.2832419646359954
30,746,1,2,2.7462330218945286
30,753,1,1,0.0
30,754,2,2,0.8974892063799171
30,790,1,2,0.3430696150007716
30,964,2,1,0.5590110323614474
31,38,1,2,3.2450023673944632
31,38,2,1,1.565142008257335
31,109,1,1,1.0544343904146822
31,160,1,2,0.0
31,189,2,1,1.9814736348679547
31,242,1,1,3.920286105656251
31,242,2,1,10.685935573085377
31,242,2,2,5.762916864942337
31,373,1,2,0.8194897596442923
31,399,1,2,0.9585238804928762
31,420,2,1,0.6477779683779924
31,423,1,1,2.17117311671283
31,447,2,1,1.8750112329573316
31,471,2,2,0.7049586438974972
31,477,2,2,1.3322925207502632
31,485,1,2,0.0
31,500,1,2,0.8117850200582902
31,500,2,2,0.8117850200582902
31,509,2,1,1.4412073270761154
31,519,2,1,1.3108861571974544
31,547,2,1,10.510181322788513
31,547,2,2,0.8089529392664137
31,550,2,1,1.9779719428729439
31,576,2,1,0.47235017941537916
31,585,1,2,0.6544604793709428
31,593,1,1,0.0
31,614,1,1,3.118739692415413
31,614,2,1,3.300506470222789
31,617,1,1,0.0
31,618,1,1,4.391019450844973
31,618,1,2,3.4169450414024167
31,618,2,1,4.391019450844973
31,618,2,2,3.4169450414024167
31,635,2,1,0.7177825185740061
31,708,1,1,2.7935082027445692
31,708,1,2,9.220728419306466
31,708,2,1,4.766093281926343
31,708,2,2,2.776786444900875
31,718,2,1,1.7106566836122572
31,730,2,1,1.3167292420352008
31,746,1,1,2.834520050640517
31,749,2,1,1.7610678712808339
31,754,1,1,1.2616114434626744
31,754,2,2,0.4205364600706686
31,790,1,1,2.248787827679293
31,885,1,1,2.8788553903228173
31,885,1,2,9.679133276392756
31,885,2,1,5.51780267788801
31,885,2,2,2.861433559738534
31,935,2,1,1.0150847633958466
31,935,2,2,2.3540412484888797
31,953,1,2,0.0
31,953,2,1,5.802291758161795
31,964,1,2,0.6819348295902531
31,964,2,2,0.6819348295902531
32,37,2,1,0.44496763513214166
32,152,1,1,2.6736332090790897
32,159,2,2,1.83429667027744
32,180,1,2,4.7935200680193555
32,224,2,1,28.45489646887034
32,236,2,2,11.454914322415897
32,254,1,2,0.5739030338809896
32,267,2,2,1.5629482752294117
32,288,2,1,0.5192818122872467
32,307,2,1,3.3806556157922474
32,343,1,1,0.4630627297571004
32,395,2,1,0.5853519077805741
32,410,2,1,3.4702996378888322
32,410,2,2,8.971525196184151
32,545,1,2,1.2287741042114475
32,570,2,2,2.880374508094509
32,576,2,2,0.7500835574169085
32,594,1,1,0.424443227730668
32,651,1,1,0.40379597582296894
32,651,1,2,18.065348442342618
32,651,2,1,29.590974252509007
32,662,2,1,0.7857347078716156
32,720,2,1,2.267969928874577
32,813,2,1,10.7212586506407
32,862,1,2,6.011487455519381
32,862,2,1,11.789095972409857
32,882,1,1,1.784276036490653
32,912,2,1,0.7282519194111641
32,931,2,1,0.8182598848031072
32,938,2,1,4.926793691705498
32,951,2,1,3.0348203695252853
32,976,1,2,0.38567235880085626
34,82,1,2,0.9639076299835242
34,82,2,1,7.432174332788169
34,82,2,2,1.596384297454535
34,137,1,1,8.82206326039286
34,137,2,1,2.1373127488130144
34,143,1,2,0.2534829312488747
34,245,1,2,0.0
34,245,2,1,2.0619833432628236
34,254,2,1,0.6536898543314119
34,349,1,1,3.7580131315678424
34,349,1,2,3.274314761249939
34,349,2,1,0.6418729645752915
34,349,2,2,0.6418729645752915
34,350,1,1,0.5273500033271956
34,350,1,2,0.22768531561637614
34,375,2,2,0.8339393009498355
34,431,1,1,0.0
34,480,2,1,0.40627274543898123
34,514,1,1,2.358411074807626
34,514,1,2,1.4927019213592592
34,515,2,1,0.0
34,617,2,1,2.3694407146138143
34,617,2,2,4.9047437340502285
34,618,2,1,1.696278897752594
34,656,1,1,2.0841607637686588
34,679,2,2,12.100264743571174
34,685,1,1,0.7805324928772635
34,723,2,1,0.7767136460724073
34,741,1,1,13.115890185817625
34,741,2,1,4.234891697281926
34,759,1,1,8.88055154690806
34,759,2,1,2.2834403312078178
34,812,1,1,8.194005202126831
34,812,1,2,5.910811818319158
34,812,2,1,0.7903350880848171
34,812,2,2,0.7903350880848171
34,847,1,1,1.5342465302745998
34,893,1,1,0.6944162442104771
34,899,1,1,1.738652830404114
34,899,2,2,0.7930244303642703
34,911,1,1,0.8640074729176741
34,911,1,2,0.534784902380567
35,47,2,2,0.9222486570452852
35,89,1,2,0.5707120814392743
35,111,1,1,4.581638359557248
35,111,2,1,3.1017145328709033
35,218,1,1,0.5751402525820517
35,218,2,1,0.4729763642148388
35,250,1,1,0.42717603176375984
35,250,2,1,1.8846064043835722
35,364,1,1,1.0973661815777467
35,364,1,2,0.6243767754339566
35,364,2,1,0.38833592642318393
35,364,2,2,3.43877062052418
35,372,2,1,0.4401069608671465
35,390,1,2,4.159808954551519
35,390,2,2,3.416566388966416
35,511,1,2,2.853170789613757
35,511,2,2,1.5477399889673964
35,559,1,2,0.0
35,587,2,2,1.5917306431638787
35,596,2,1,0.9982410960689803
35,596,2,2,0.33767476504825295
35,670,1,1,2.671401672550585
35,670,1,2,0.7206876865636401
35,670,2,1,5.337929713728854
35,670,2,2,0.46975683495457327
35,733,2,1,0.42497042521932243
35,738,1,2,0.6839892374209952
35,738,2,2,0.9309151519727836
35,888,1,2,0.34217695141129395
35,948,2,1,1.1656409518852782
35,959,1,1,7.766280834944487
35,959,2,1,5.393621208443516
36,180,1,1,3.5987723169262074
36,489,1,2,1.0990853044033355
36,532,2,1,5.608989334782272
36,581,1,1,0.9329408455855286
36,714,1,1,1.0707935671077147
36,928,1,2,0.9134356037372711
37,73,2,2,3.1208517081508798
37,118,2,1,1.8803767034844179
37,118,2,2,1.8803767034844179
37,124,1,1,3.29200465474821
37,124,1,2,2.458630285970199
37,124,2,1,2.458630285970199
37,124,2,2,2.458630285970199
37,146,1,1,3.0290156065682057
37,159,1,2,15.499765323172934
37,190,1,1,1.0912523449005727
37,190,2,1,0.8858337790760364
37,204,2,1,1.512322814330121
37,224,1,1,1.141344715020841
37,224,1,2,0.35206743823688663
37,224,2,2,24.704115231071203
37,236,1,2,0.5046454032366312
37,249,2,2,0.867707156384236
37,267,1,2,0.3767588071665849
37,287,2,2,1.94629292836555
37,353,1,2,1.08761929610704
37,410,1,1,5.135929998146087
37,410,1,2,0.5551522655817003
37,458,2,1,2.672709275508968
37,458,2,2,0.7490955491658645
